test,family,testbench_policy,status,seed,cycles,rtl_instructions,iss_instructions,cpi,first_mismatch,mismatch_pc,mismatch_function,mismatch_source,mismatch_disassembly,waveform_timestamp,checker_failure,mmio_reads,mmio_writes,interrupts,traps,accepted,rejected,completions,runtime_errors,assertion_failures,memory_mismatches,mailbox0,apb_wait_cycles,poll_reads,irq_latency_cycles,handler_cycles,submit_to_completion_cycles,applied_knobs,trace,event_trace,log
timer_compare_future,directed,gcc_timer_future,PASS,20260717,956,303,303,3.155,,,,,,,0,7,11,2,0,0,0,0,0,0,0,00000001,0,0,0,151,0,,chiplet_extension/build/firmware_c/traces/timer_compare_future.csv,chiplet_extension/build/firmware_c/events/timer_compare_future.csv,chiplet_extension/build/firmware_c/logs/timer_compare_future.log
timer_mask_pending_enable,directed,gcc_timer_masked,PASS,20260717,3467,1146,1146,3.025,,,,,,,0,3,6,1,0,0,0,0,0,0,0,00000000,0,0,0,151,0,,chiplet_extension/build/firmware_c/traces/timer_mask_pending_enable.csv,chiplet_extension/build/firmware_c/events/timer_mask_pending_enable.csv,chiplet_extension/build/firmware_c/logs/timer_mask_pending_enable.log
timer_during_apb_wait,directed,gcc_timer_apb_wait,PASS,20260717,638,200,200,3.190,,,,,,,0,4,6,1,0,0,0,0,0,0,0,00000000,7,0,0,151,0,,chiplet_extension/build/firmware_c/traces/timer_during_apb_wait.csv,chiplet_extension/build/firmware_c/events/timer_during_apb_wait.csv,chiplet_extension/build/firmware_c/logs/timer_during_apb_wait.log
external_timer_priority,directed,gcc_timer_priority,PASS,20260717,884,279,279,3.168,,,,,,,0,4,14,2,0,1,0,1,0,0,0,00000001,0,0,90,151,90,,chiplet_extension/build/firmware_c/traces/external_timer_priority.csv,chiplet_extension/build/firmware_c/events/external_timer_priority.csv,chiplet_extension/build/firmware_c/logs/external_timer_priority.log
wfi_timer_wake,directed,gcc_wfi_timer,PASS,20260717,762,179,179,4.257,,,,,,,0,3,6,1,0,0,0,0,0,0,0,00000001,0,0,0,151,0,,chiplet_extension/build/firmware_c/traces/wfi_timer_wake.csv,chiplet_extension/build/firmware_c/events/wfi_timer_wake.csv,chiplet_extension/build/firmware_c/logs/wfi_timer_wake.log
wfi_external_wake,directed,gcc_wfi_external,PASS,20260717,666,176,176,3.784,,,,,,,0,1,9,1,0,1,0,1,0,0,0,00000001,0,0,113,146,113,,chiplet_extension/build/firmware_c/traces/wfi_external_wake.csv,chiplet_extension/build/firmware_c/events/wfi_external_wake.csv,chiplet_extension/build/firmware_c/logs/wfi_external_wake.log
wfi_sleep_wake,directed,gcc_wfi_sleep,PASS,20260717,1018,176,176,5.784,,,,,,,0,4,6,1,0,0,0,0,0,0,0,00000001,0,0,0,151,0,,chiplet_extension/build/firmware_c/traces/wfi_sleep_wake.csv,chiplet_extension/build/firmware_c/events/wfi_sleep_wake.csv,chiplet_extension/build/firmware_c/logs/wfi_sleep_wake.log
counter_rollover,directed,gcc_counter_rollover,PASS,20260717,538,175,175,3.074,,,,,,,0,0,1,0,0,0,0,0,0,0,0,fffffffe,0,0,0,0,0,,chiplet_extension/build/firmware_c/traces/counter_rollover.csv,chiplet_extension/build/firmware_c/events/counter_rollover.csv,chiplet_extension/build/firmware_c/logs/counter_rollover.log
firmware_latency_counters,directed,gcc_counter_latency,PASS,20260717,700,223,223,3.139,,,,,,,0,1,9,1,0,1,0,1,0,0,0,00000135,0,0,112,146,112,,chiplet_extension/build/firmware_c/traces/firmware_latency_counters.csv,chiplet_extension/build/firmware_c/events/firmware_latency_counters.csv,chiplet_extension/build/firmware_c/logs/firmware_latency_counters.log
timer_counter_arch_edges,directed,gcc_timer_arch_edges,PASS,20260717,536,173,173,3.098,,,,,,,0,0,3,0,1,0,0,0,0,0,0,00000000,0,0,0,0,0,,chiplet_extension/build/firmware_c/traces/timer_counter_arch_edges.csv,chiplet_extension/build/firmware_c/events/timer_counter_arch_edges.csv,chiplet_extension/build/firmware_c/logs/timer_counter_arch_edges.log
